modelo,estimate,se,p_valor,lo,hi
Pooled OLS,-0.03423462891225491,0.0027943842374944265,2.420502976387841e-34,-0.03971162201774398,-0.02875763580676583
Efectos aleatorios,-0.025887968500889487,0.002526805991106291,1.4979804931024545e-24,-0.030840508243457816,-0.02093542875832116
FE municipio,-0.004213181947500497,0.002782994767899362,0.1300735614487851,-0.009667851692583246,0.0012414877975822523
FE municipio y año (base),-0.003609808663291602,0.0033322286940909015,0.2786935368744017,-0.01014097690370977,0.0029213595771265645
Base: solo 2016-2024,-0.001073435310364809,0.004308822180138094,0.8032698471504955,-0.009518726783435474,0.007371856162705856
Base: con cobertura cero,-0.002459745491916027,0.003371945598110716,0.465724349695519,-0.00906875886421303,0.0041492678803809755
Base: sin 2020,5.878242262262686e-4,0.0029036229064197876,0.8395720265062274,-0.005103276670356515,0.006278925122809052
